customer_id,first_name,last_name,email,phone,created_at,loyalty_status
26,Katherine,Walker,katherine.walker26@example.com,2940412366,2025-04-29T12:15:11,silver
27,David,Perry,david.perry27@example.com,8173894385,2024-10-05T22:02:25,silver
28,Stephanie,Pacheco,stephanie.pacheco28@example.com,4359434620,2025-09-10T13:42:17,silver
29,Kimberly,Powers,kimberly.powers29@example.com,7196478705,2025-04-14T06:27:34,bronze
30,Emily,Baldwin,emily.baldwin30@example.com,8953298721,2024-08-14T11:06:59,bronze
31,Corey,Mcintosh,corey.mcintosh31@example.com,9547438374,2024-04-12T19:50:15,silver
32,Haley,Conner,haley.conner32@example.com,6384425839,2024-06-12T19:31:47,bronze
33,Heather,Perez,heather.perez33@example.com,4406141034,2024-10-16T04:05:03,silver
34,Melissa,Donovan,melissa.donovan34@example.com,5646490340,2024-10-24T08:43:53,bronze
35,Barbara,Oconnell,barbara.oconnell35@example.com,2170778918,2024-10-31T02:28:00,silver
36,Audrey,Paul,audrey.paul36@example.com,7383447781,2024-01-23T06:33:37,silver
37,Richard,Carter,richard.carter37@example.com,4345348802,2024-05-10T09:45:00,bronze
38,Katrina,Oconnor,katrina.oconnor38@example.com,4870295895,2024-08-19T14:19:27,bronze
39,Christina,Sharp,christina.sharp39@example.com,4555275929,2025-07-24T21:24:34,silver
40,David,Mccullough,david.mccullough40@example.com,9669194294,2025-01-17T11:51:02,platinum
41,Cody,Knight,cody.knight41@example.com,2719084027,2025-01-09T21:18:14,bronze
42,Gary,Gonzalez,gary.gonzalez42@example.com,2082228297,2024-04-28T08:16:31,bronze
43,Mike,Ellis,mike.ellis43@example.com,1740266979,2025-01-02T16:26:06,silver
44,Brandy,Russell,brandy.russell44@example.com,1789506822,2025-02-16T21:27:15,bronze
45,Julie,Wright,julie.wright45@example.com,0465844193,2024-01-17T15:54:36,bronze
46,Barbara,Gonzalez,barbara.gonzalez46@example.com,3880837936,2023-12-26T09:15:30,bronze
47,Keith,Phillips,keith.phillips47@example.com,5378688641,2024-09-22T00:14:23,gold
48,Rhonda,Bush,rhonda.bush48@example.com,0491810302,2025-05-26T00:31:50,bronze
49,Rhonda,Martinez,rhonda.martinez49@example.com,0778006370,2025-03-31T17:33:42,bronze
50,David,May,david.may50@example.com,9110240463,2025-10-12T20:30:44,bronze
51,Kelly,Hall,kelly.hall51@example.com,8536173888,2024-08-16T06:49:37,bronze
52,Renee,Johnson,renee.johnson52@example.com,5297842093,2025-08-20T15:48:45,bronze
53,Jennifer,Salazar,jennifer.salazar53@example.com,1565100129,2023-12-30T19:07:48,bronze
54,Joanna,Edwards,joanna.edwards54@example.com,0046309678,2025-08-02T15:42:37,bronze
55,Stephanie,Mueller,stephanie.mueller55@example.com,9601603980,2023-12-12T22:07:46,bronze
56,Joseph,Williams,joseph.williams56@example.com,8327883526,2025-04-29T19:23:57,bronze
57,Sarah,Newman,sarah.newman57@example.com,5261948217,2024-04-09T07:18:58,bronze
58,Sarah,Young,sarah.young58@example.com,9834791276,2024-05-17T21:01:40,bronze
59,Amanda,Taylor,amanda.taylor59@example.com,2599500524,2025-05-16T01:33:27,gold
60,Angelica,Bailey,angelica.bailey60@example.com,6812330066,2025-02-19T01:14:17,bronze
61,Ricky,Hale,ricky.hale61@example.com,5012060112,2024-03-05T12:09:57,bronze
62,Shannon,Williams,shannon.williams62@example.com,2227513681,2023-12-10T06:43:01,gold
63,Robin,Moore,robin.moore63@example.com,5433684390,2025-04-14T04:08:55,bronze
64,Donna,Kennedy,donna.kennedy64@example.com,3807164739,2024-11-23T15:33:52,silver
65,Kara,Tate,kara.tate65@example.com,6970845931,2024-04-03T15:59:01,gold
66,Michael,Ellis,michael.ellis66@example.com,5436363180,2025-07-03T13:53:37,bronze
67,Jacob,Calderon,jacob.calderon67@example.com,1605179899,2024-12-15T07:42:53,platinum
68,Stephen,Wilson,stephen.wilson68@example.com,8993666358,2025-10-25T23:11:17,bronze
69,Rachel,Lopez,rachel.lopez69@example.com,0807746105,2024-11-15T07:22:19,gold
70,Thomas,Gutierrez,thomas.gutierrez70@example.com,5260704955,2023-12-16T01:06:29,bronze
71,Amanda,Cannon,amanda.cannon71@example.com,9209201493,2024-04-13T20:29:03,silver
72,Erin,Tyler,erin.tyler72@example.com,8221198490,2024-08-15T06:54:03,bronze
73,Kristina,Robinson,kristina.robinson73@example.com,1565686040,2024-02-26T22:18:31,bronze
74,Christy,Castro,christy.castro74@example.com,8020719995,2024-05-28T01:56:45,silver
75,William,Thompson,william.thompson75@example.com,7302397542,2025-01-22T17:03:48,bronze
76,Amanda,Moore,amanda.moore76@example.com,9746480471,2024-11-03T11:54:46,silver
77,Alexander,Roberts,alexander.roberts77@example.com,9990827158,2025-07-19T14:41:20,bronze
78,Craig,Curtis,craig.curtis78@example.com,9868146146,2024-06-19T10:44:09,silver
79,Curtis,Garcia,curtis.garcia79@example.com,3668699558,2024-08-06T09:22:51,gold
80,Shaun,Smith,shaun.smith80@example.com,0016321453,2024-08-21T08:57:10,silver
81,Deanna,Smith,deanna.smith81@example.com,9078786885,2024-01-29T20:13:33,bronze
82,Tracy,Reese,tracy.reese82@example.com,5568898794,2025-04-07T12:18:26,silver
83,Robert,Ortiz,robert.ortiz83@example.com,4709158043,2025-02-27T06:44:51,bronze
84,Victoria,Chandler,victoria.chandler84@example.com,4750473423,2024-04-12T21:18:09,bronze
85,Steven,Thomas,steven.thomas85@example.com,5609662285,2025-06-17T14:56:05,bronze
86,Paul,Miranda,paul.miranda86@example.com,6281660869,2024-03-02T06:52:39,gold
87,Robert,Smith,robert.smith87@example.com,0023361987,2024-09-10T07:38:26,bronze
88,Robert,Hoover,robert.hoover88@example.com,6115929354,2025-02-28T01:54:32,bronze
89,Yolanda,Fowler,yolanda.fowler89@example.com,5128688559,2024-08-08T05:14:00,platinum
90,Frank,Howell,frank.howell90@example.com,0725966495,2025-04-24T20:35:22,silver
91,Ryan,Barnett,ryan.barnett91@example.com,8498925594,2024-04-04T04:53:47,bronze
92,Marissa,Grant,marissa.grant92@example.com,8473361543,2024-03-02T03:35:57,bronze
93,Jacob,Martin,jacob.martin93@example.com,2211304495,2025-10-05T13:10:23,bronze
94,Kelly,Holmes,kelly.holmes94@example.com,5575276085,2024-02-05T18:04:41,bronze
95,Heidi,Dennis,heidi.dennis95@example.com,8164440597,2024-09-24T20:20:27,bronze
96,Michelle,Graham,michelle.graham96@example.com,8181012049,2024-05-30T19:36:38,silver
97,Michael,Clarke,michael.clarke97@example.com,2444332401,2025-04-01T22:43:18,silver
98,Kelsey,Avery,kelsey.avery98@example.com,1338687695,2025-07-04T09:15:30,silver
99,Connor,Hanson,connor.hanson99@example.com,7042928824,2024-02-22T18:47:51,bronze
100,Elizabeth,Vasquez,elizabeth.vasquez100@example.com,1653721921,2025-04-16T00:44:08,bronze
101,Kelly,Dennis,kelly.dennis101@example.com,8496833203,2024-01-08T05:28:42,gold
102,Courtney,Garcia,courtney.garcia102@example.com,9782721632,2025-08-06T10:11:20,bronze
103,Cynthia,Humphrey,cynthia.humphrey103@example.com,3399793986,2024-03-24T13:13:52,bronze
104,Theresa,Tapia,theresa.tapia104@example.com,4999973043,2024-01-15T17:33:16,bronze
105,Patricia,Meyer,patricia.meyer105@example.com,3683866326,2024-03-11T10:56:21,silver
106,William,Arias,william.arias106@example.com,5466727465,2024-09-02T08:46:10,platinum
107,Catherine,Freeman,catherine.freeman107@example.com,2472955398,2024-12-13T21:33:43,bronze
108,Neil,Downs,neil.downs108@example.com,6920898229,2023-12-06T14:33:19,bronze
109,Tara,Guerrero,tara.guerrero109@example.com,6671326532,2024-09-18T10:18:39,platinum
110,Christopher,Cordova,christopher.cordova110@example.com,1930124726,2025-10-14T09:31:59,bronze
111,Michael,Everett,michael.everett111@example.com,4625387888,2025-07-21T17:30:55,gold
112,Paige,Dominguez,paige.dominguez112@example.com,6071746907,2025-06-17T08:01:35,silver
113,Margaret,Graham,margaret.graham113@example.com,1792746261,2025-08-26T03:34:20,bronze
114,Steven,Craig,steven.craig114@example.com,6749854536,2025-04-29T13:37:46,silver
115,Diana,Obrien,diana.obrien115@example.com,4262894387,2025-02-01T05:26:34,silver
116,James,Carter,james.carter116@example.com,4248213389,2025-10-12T22:26:45,silver
117,Victoria,Murray,victoria.murray117@example.com,6854080124,2023-12-23T08:25:45,silver
118,Lindsay,Johnson,lindsay.johnson118@example.com,3181469065,2025-06-17T11:31:28,silver
119,Charles,Jones,charles.jones119@example.com,6813788389,2024-05-14T18:58:42,silver
120,Matthew,Mclean,matthew.mclean120@example.com,7881280073,2025-07-24T20:44:24,bronze
